PRODUCT_ID;SUPPLIER_NAME;SUPPLIER_ADDRESS
P_0110;SpeedStorage;"Holzhausenstraße 6, 60318 Frankfurt am Main, Germany"
P_0138;MouseWare;"Hochpfortenbüchel 2B, 50676 Köln, Germany"
P_0053;StandSolutions;"44147 Dortmund, Germany"
P_0125;VisionCam;"Kaiserstraße 34, 44135 Dortmund, Germany"
P_0118;SpeedStorage;"Lange Str. 62, 44137 Dortmund, Germany"
P_0129;SpeedStorage;"Otto-Hahn-Straße 12, 44227 Dortmund, Germany"
P_0123;DeskoFlex;"Eschborner Landstraße 55, 60489 Frankfurt am Main, Germany"
P_0074;SpeedStorage;"Südwall, 44137 Dortmund, Germany"
P_0115;VisionCam;"Thorwaldsenstraße 11, 51103 Köln, Germany"
P_0048;DeskoFlex;"Essen Schützenbahn 70, 45127 Essen, Germany"
P_0111;SpeedStorage;"Holzhausenstraße 6, 60318 Frankfurt am Main, Germany"
P_0139;MouseWare;"Hochpfortenbüchel 2B, 50676 Köln, Germany"
P_0052;StandSolutions;"44147 Dortmund, Germany"
P_0124;VisionCam;"Kaiserstraße 34, 44135 Dortmund, Germany"
P_0117;SpeedStorage;"Lange Str. 62, 44137 Dortmund, Germany"
P_0128;SpeedStorage;"Otto-Hahn-Straße 12, 44227 Dortmund, Germany"
P_0122;DeskoFlex;"Eschborner Landstraße 55, 60489 Frankfurt am Main, Germany"
P_0073;SpeedStorage;"Südwall, 44137 Dortmund, Germany"
P_0114;VisionCam;"Thorwaldsenstraße 11, 51103 Köln, Germany"
P_0047;DeskoFlex;"Essen Schützenbahn 70, 45127 Essen, Germany"